index,abs_error_float,abs_error_lsb
0,0.00048927,0.125253
1,0.00107846,0.276086
2,0.00234272,0.599737
3,0.00252988,0.647650
4,0.00252137,0.645471
5,0.00037800,0.096769
6,0.00362458,0.927893
7,0.00126987,0.325088
8,0.00005829,0.014922
9,0.00093517,0.239403
10,0.00215139,0.550756
11,0.00083297,0.213240
12,0.00010666,0.027304
13,0.00026505,0.067852
14,0.00003837,0.009822
15,0.00058934,0.150871
16,0.00354674,0.907967
17,0.00114719,0.293681
18,0.00002611,0.006685
19,0.00176553,0.451974
20,0.00021966,0.056233
21,0.00009890,0.025318
22,0.00177032,0.453203
23,0.00065224,0.166973
24,0.00057169,0.146351
25,0.00262555,0.672141
26,0.00045087,0.115423
27,0.00176200,0.451071
28,0.00124653,0.319113
29,0.00156035,0.399449
30,0.00223014,0.570917
31,0.00149708,0.383253
32,0.00164711,0.421659
33,0.00060546,0.154999
34,0.00273438,0.700002
35,0.00039586,0.101341
36,0.00105417,0.269868
37,0.00171323,0.438586
38,0.00004156,0.010639
39,0.00026741,0.068458
40,0.00093765,0.240037
41,0.00003834,0.009816
42,0.00193526,0.495428
43,0.00119285,0.305369
44,0.00237181,0.607184
45,0.00055165,0.141223
46,0.00054852,0.140422
47,0.00026159,0.066968
48,0.00108451,0.277634
49,0.00209433,0.536148
50,0.00110471,0.282805
51,0.00118635,0.303706
52,0.00102214,0.261668
53,0.00105244,0.269426
54,0.00301063,0.770721
55,0.00008859,0.022678
56,0.00091000,0.232959
57,0.00057350,0.146817
58,0.00014554,0.037257
59,0.00105897,0.271095
60,0.00158092,0.404717
61,0.00144856,0.370832
62,0.00158117,0.404779
63,0.00209425,0.536128
64,0.00042778,0.109512
65,0.00140416,0.359466
66,0.00252648,0.646779
67,0.00243797,0.624120
68,0.00290215,0.742951
69,0.00039195,0.100339
70,0.00401566,1.028010
71,0.00124906,0.319759
72,0.00048135,0.123225
73,0.00106962,0.273822
74,0.00215649,0.552062
75,0.00095275,0.243903
76,0.00039799,0.101884
77,0.00023249,0.059517
78,0.00013312,0.034079
79,0.00082464,0.211108
80,0.00378282,0.968403
81,0.00123759,0.316823
82,0.00031767,0.081325
83,0.00182710,0.467736
84,0.00000880,0.002252
85,0.00004150,0.010624
86,0.00147384,0.377303
87,0.00081038,0.207458
88,0.00009528,0.024391
89,0.00300235,0.768603
90,0.00043308,0.110868
91,0.00185731,0.475471
92,0.00146441,0.374890
93,0.00133216,0.341034
